name,region
대전대화초등학교,대전광역시
가수원초등학교,대전광역시
서울중화초등학교,서울특별시
대전하기초등학교,대전광역시
서울상월초등학교,서울특별시
서울중목초등학교,서울특별시
연봉초등학교,세종특별자치시
연남초등학교,세종특별자치시
수왕초등학교,세종특별자치시
신탄진초등학교,대전광역시
서울영림초등학교,서울특별시
서천초등학교,부산광역시
대구관천초등학교,대구광역시
산내초등학교,대전광역시
서울평화초등학교,서울특별시
대전성남초등학교,대전광역시
진남초등학교,광주광역시
의귀초등학교,제주특별자치도
서울양원초등학교,서울특별시
좌삼초등학교,경상남도
유어초등학교,경상남도
서울동작초등학교,서울특별시
서울갈산초등학교,서울특별시
서울태랑초등학교,서울특별시
서울한천초등학교,서울특별시
괴정초등학교,부산광역시
대전관저초등학교,대전광역시
대구국우초등학교,대구광역시
무안초등학교,경상남도
맹방초등학교,강원특별자치도
서울신구초등학교,서울특별시
거창초등학교,경상남도
유안초등학교,광주광역시
서울봉화초등학교,서울특별시
영신초등학교,대구광역시
서령초등학교,충청남도
통리초등학교,강원특별자치도
기장초등학교,부산광역시
칠산초등학교,경상남도
북상초등학교,경상남도
대구아양초등학교,대구광역시
서울양동초등학교,서울특별시
서감초등학교,부산광역시
대구범일초등학교,대구광역시
대구복명초등학교,대구광역시
안중초등학교,충청남도
대전중원초등학교,대전광역시
용아초등학교,충청북도
세성초등학교,충청북도
도리초등학교,제주특별자치도
대구장산초등학교,대구광역시
철암초등학교,강원특별자치도
광명남초등학교,경기도
광명동초등학교,경기도
청학초등학교,부산광역시
대전교촌초등학교,대전광역시
대구명덕초등학교,대구광역시
수곡초등학교,충청북도
보수초등학교,부산광역시
상평초등학교,강원특별자치도
서울강남초등학교,서울특별시
계동초등학교,경상남도
안명초등학교,경상남도
대전배울초등학교,대전광역시
상평초등학교공수전분교장,강원특별자치도
송해초등학교,인천광역시
거제초등학교,부산광역시
서울상봉초등학교,서울특별시
서울원광초등학교,서울특별시
서울월계초등학교,서울특별시
대전신계초등학교,대전광역시
용인신촌초등학교,경기도
명덕초등학교,전라남도
별량초등학교,전라남도
풍덕초등학교,경기도
매원초등학교,경기도
영강초등학교,전라남도
초평초등학교,충청북도
연서초등학교,부산광역시
삼성초등학교,경기도
인천검단초등학교,인천광역시
동성초등학교,충청북도
흥덕초등학교,충청북도
한터초등학교,경기도
운천초등학교,경기도
죽장초등학교상옥분교장,경상북도
성덕초등학교,충청남도
용당초등학교,전라남도
예천초등학교,경상북도
화산초등학교,경상북도
기북초등학교,경상북도
성동초등학교,경상북도
용인대덕초등학교,경기도
관인초등학교,경기도
서울구로남초등학교,서울특별시
서정리초등학교,경기도
비안초등학교,경상북도
의성남부초등학교,경상북도
어방초등학교,경상남도
대전지족초등학교,대전광역시
와우초등학교,경기도
도일초등학교,경기도
문척초등학교,전라남도
서남초등학교,경상남도
인지초등학교,충청남도
조마초등학교,경상북도
유구초등학교,충청남도
서울보라매초등학교,서울특별시
예원초등학교,경기도
상갈초등학교,경기도
증산초등학교,강원특별자치도
광의초등학교,전라남도
재릉초등학교,제주특별자치도
인천석남초등학교,인천광역시
제일초등학교,경기도
김천동신초등학교,경상북도
다선초등학교,부산광역시
삼봉초등학교,경기도
천생초등학교,경상북도
합정초등학교,경기도
백암초등학교,경기도
도화초등학교,전라남도
모화초등학교,경상북도
종곡초등학교,충청북도
원천초등학교,전북특별자치도
인천용마초등학교,인천광역시
병영초등학교,전라남도
인천서운초등학교,인천광역시
함창중앙초등학교,경상북도
금성초등학교,서울특별시
칠성초등학교,충청북도
옥과초등학교,전라남도
동천초등학교,경상북도
신기초등학교,경상남도
복창초등학교,경기도
덕적초등학교,인천광역시
구미오산초등학교,경상북도
산호초등학교,경상남도
양포초등학교,경상북도
인천심곡초등학교,인천광역시
가야초등학교,부산광역시
맹동초등학교,충청북도
인천담방초등학교,인천광역시
호연초등학교,경기도
현덕초등학교광덕분교장,경기도
성산초등학교,경기도
옥성초등학교,경상북도
수륜초등학교,경상북도
동천초등학교,경기도
대구대덕초등학교,대구광역시
서울신천초등학교,서울특별시
봉명초등학교,충청북도
왕곡초등학교,경기도
손불초등학교,전라남도
서룡초등학교,경기도
묵계초등학교청암분교장,경상남도
부용초등학교,충청북도
삼례중앙초등학교,전북특별자치도
인천효성초등학교,인천광역시
고금초등학교,전라남도
군산진포초등학교,전북특별자치도
송악초등학교,충청남도
간중초등학교,전북특별자치도
가능초등학교,경기도
문기초등학교,경기도
역북초등학교,경기도
초당초등학교,경기도
포항항도초등학교,경상북도
서울서정초등학교,서울특별시
남당초등학교,충청북도
해오름초등학교,경기도
산인초등학교,경상남도
송호초등학교,전라남도
순천북초등학교,전라남도
금정초등학교,경기도
매화초등학교,경기도
서울신남성초등학교,서울특별시
서울선곡초등학교,서울특별시
곤지암초등학교,경기도
동성초등학교,경상북도
미양초등학교,경기도
금마초등학교,충청남도
우만초등학교,경기도
분평초등학교,충청북도
강진동초등학교,전라남도
수기초등학교,경기도
서울신동초등학교,서울특별시
중부초등학교,경기도
서울대영초등학교,서울특별시
압해동초등학교,전라남도
가거도초등학교,전라남도
상색초등학교,경기도
리라초등학교,서울특별시
은척초등학교,경상북도
대전양지초등학교,대전광역시
낙산초등학교,경상북도
안산중앙초등학교,경기도
구룡포초등학교,경상북도
서울서래초등학교,서울특별시
광주수창초등학교,광주광역시
인천한길초등학교,인천광역시
대전상원초등학교,대전광역시
태을초등학교,경기도
비룡초등학교,경기도
도평초등학교,제주특별자치도
탄천초등학교,경기도
고색초등학교,경기도
대원초등학교,경상남도
죽곡초등학교,전라남도
청동초등학교,부산광역시
정자초등학교,경기도
안계초등학교,경상북도
서명초등학교,부산광역시
원량초등학교연화분교장,경상남도
옥계동부초등학교,경상북도
솔밭초등학교,충청북도
증도초등학교,전라남도
